group	node_shape	node_role	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
ContentConstraint	urn:codex:bootstrap:1.0.0#ContentConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1	subshape				3	0
ContentConstraint	urn:codex:bootstrap:1.0.0#ContentConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/2	subshape				3	0
ContentPath	urn:codex:bootstrap:1.0.0#ContentPath#shape	root	urn:codex:bootstrap:1.0.0#ContentPath	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ContentRules	urn:codex:bootstrap:1.0.0#ContentRules#shape	root	urn:codex:bootstrap:1.0.0#ContentRules	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ContextConstraint	urn:codex:bootstrap:1.0.0#ContextConstraint#shape	root	urn:codex:bootstrap:1.0.0#ContextConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ContextConstraint	urn:codex:bootstrap:1.0.0#ContextConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0	subshape				2	0
ContextConstraint	urn:codex:bootstrap:1.0.0#ContextConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1	subshape				2	0
Count	urn:codex:bootstrap:1.0.0#Count#shape	root	urn:codex:bootstrap:1.0.0#Count	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
Count	urn:codex:bootstrap:1.0.0#Count#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0	subshape				1	0
Count	urn:codex:bootstrap:1.0.0#Count#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1	subshape				1	0
DescendantPath	urn:codex:bootstrap:1.0.0#DescendantPath#shape	root	urn:codex:bootstrap:1.0.0#DescendantPath	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
EachMemberSatisfies	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape	root	urn:codex:bootstrap:1.0.0#EachMemberSatisfies	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
EnumeratedConstraint	urn:codex:bootstrap:1.0.0#EnumeratedConstraint#shape	root	urn:codex:bootstrap:1.0.0#EnumeratedConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
EnumeratedValueSet	urn:codex:bootstrap:1.0.0#EnumeratedValueSet#shape	root	urn:codex:bootstrap:1.0.0#EnumeratedValueSet	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	1
EnumeratedValueSets	urn:codex:bootstrap:1.0.0#EnumeratedValueSets#shape	root	urn:codex:bootstrap:1.0.0#EnumeratedValueSets	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ExactlyOneChildOf	urn:codex:bootstrap:1.0.0#ExactlyOneChildOf#shape	root	urn:codex:bootstrap:1.0.0#ExactlyOneChildOf	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
Exists	urn:codex:bootstrap:1.0.0#Exists#shape	root	urn:codex:bootstrap:1.0.0#Exists	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ForAll	urn:codex:bootstrap:1.0.0#ForAll#shape	root	urn:codex:bootstrap:1.0.0#ForAll	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ForbidsChildConcept	urn:codex:bootstrap:1.0.0#ForbidsChildConcept#shape	root	urn:codex:bootstrap:1.0.0#ForbidsChildConcept	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ForbidsContent	urn:codex:bootstrap:1.0.0#ForbidsContent#shape	root	urn:codex:bootstrap:1.0.0#ForbidsContent	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ForbidsTrait	urn:codex:bootstrap:1.0.0#ForbidsTrait#shape	root	urn:codex:bootstrap:1.0.0#ForbidsTrait	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
IdentityConstraint	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape	root	urn:codex:bootstrap:1.0.0#IdentityConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
IdentityConstraint	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0	subshape				3	0
IdentityConstraint	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1	subshape				4	0
IdentityConstraint	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/2	subshape				4	0
IdentityConstraint	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/3	subshape				4	0
