group	node_shape	property_subject	property_kind	path	class	datatype	node	node_kind	min_count	max_count	has_value	min_length	max_length	min_inclusive	max_inclusive	pattern	flags	in_values
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1/property/cbc1487d15b3856ca12054f69f4a477c82992d77708ff1a92265ee5621344265		urn:codex:bootstrap:1.0.0#keyTrait					1									
CollectionAllowsEmpty	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/property/child/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f	child	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#child/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f	urn:codex:bootstrap:1.0.0#DescendantPath					1								
CollectionAllowsEmpty	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/property/child/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca	child	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#child/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca	urn:codex:bootstrap:1.0.0#ChildPath					1								
CollectionAllowsEmpty	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
CollectionAllowsEmpty	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
CollectionAllowsEmpty	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/property/trait/eabc01f12ec3e7cb6db0ada0f8f37323b0cfe6d08a2a73479e7d5b62d7e63529	trait	urn:codex:bootstrap:1.0.0#allowed		http://www.w3.org/2001/XMLSchema#boolean			1	1								
CollectionOrdering	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/property/child/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f	child	urn:codex:bootstrap:1.0.0#CollectionOrdering#child/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f	urn:codex:bootstrap:1.0.0#DescendantPath					1								
CollectionOrdering	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/property/child/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca	child	urn:codex:bootstrap:1.0.0#CollectionOrdering#child/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca	urn:codex:bootstrap:1.0.0#ChildPath					1								
CollectionOrdering	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
CollectionOrdering	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
CollectionOrdering	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/property/trait/eee949668040f46c7d28fb995e9cb3a3a97df66f4a4d51e756ad95f7086ceb79	trait	urn:codex:bootstrap:1.0.0#ordering					1	1								$Ordered | $Unordered
CollectionRules	urn:codex:bootstrap:1.0.0#CollectionRules#shape	urn:codex:bootstrap:1.0.0#CollectionRules#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
CollectionRules	urn:codex:bootstrap:1.0.0#CollectionRules#shape	urn:codex:bootstrap:1.0.0#CollectionRules#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
CollectionRules	urn:codex:bootstrap:1.0.0#CollectionRules#shape	urn:codex:bootstrap:1.0.0#CollectionRules#shape/property/trait/02dd9f04e85edb533c1c8ba5e61c177be0a0ea3ead3fc23b17dcfd6468f11612	trait	urn:codex:bootstrap:1.0.0#allowsDuplicates		http://www.w3.org/2001/XMLSchema#boolean			1	1								
CollectionRules	urn:codex:bootstrap:1.0.0#CollectionRules#shape	urn:codex:bootstrap:1.0.0#CollectionRules#shape/property/trait/eee949668040f46c7d28fb995e9cb3a3a97df66f4a4d51e756ad95f7086ceb79	trait	urn:codex:bootstrap:1.0.0#ordering					1	1								$Ordered | $Unordered
ConceptDefinition	urn:codex:bootstrap:1.0.0#ConceptDefinition#shape	urn:codex:bootstrap:1.0.0#ConceptDefinition#shape/property/child/295cc6d494ac0622f3c160d8ea5196e87ff95b81fdfcb049c91520eff0e1b8c6	child	urn:codex:bootstrap:1.0.0#ConceptDefinition#child/295cc6d494ac0622f3c160d8ea5196e87ff95b81fdfcb049c91520eff0e1b8c6	urn:codex:bootstrap:1.0.0#ChildRules													
