group	node_shape	operator	object	members
RdfTriple	urn:codex:bootstrap:1.0.0#RdfTriple#shape	not	urn:codex:bootstrap:1.0.0#RdfTriple#shape/not/6d9f0bc6a43fcf341c62365c2f21334ff4ce15d85c787f3776c0add8ea9d1e94	urn:codex:bootstrap:1.0.0#RdfTriple#shape/not/6d9f0bc6a43fcf341c62365c2f21334ff4ce15d85c787f3776c0add8ea9d1e94
ReferenceConstraint	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape	xone	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0 | urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1 | urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/2 | urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/3 | urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/4
Rule	urn:codex:bootstrap:1.0.0#Rule#shape	xone	urn:codex:bootstrap:1.0.0#Rule#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/2d181a7256c178caff8cc4a08a203bbbc4879b0bac5e708aab18989972e3295f | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/0d7de4a830ecc1d318065b4c04610348c086b5d3db6a44802e3cc47372babea2 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/ecd7960f09fb061cda24e8997f49919e14545be8074977659b4e2926c4d3a226 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/ed10ad9d560720be8722ea1ca1d0bc45d26592dd81883e5665b1098adc39d4e9 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/e45f071809685f79d4f6f9bbe9809e0a45fa10477905769d7a13fff7dfc7ad10 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/aa02d116c68e797403dc18632c5d45ddd6c86050b22321a48bf7e4e8987c04df | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/0c4eaebc7894c1058d4c14b15a42669ad34011a0f285df51f4eb15eb571d1394 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/41a42d6304aee6d5ac4967c44705d19f7b89284b610b6d2721c011b340416496 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/d96b5be3c3b1950d911dfe98d7a41926b8646ff0594a4e48ed175ef7d3b808a6 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/4a61789f2da50a3f9ba754b14bc2ea51488d916f56bcdbd28137f4d1a2ce07a1 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/d168c84ff7f062f4d583177e96fc1689a04be4d67201e10ff3824aaacbc9caa9 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/887c2a73b3743cb3f78f98e9453ac0cd4bf7c254176d0e3a9e447372142bb559 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/af518f54351016b22fd23559a085960703e5517919b373374974e3fffab0dae2 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/7fe684e49a0557ee268441a53c8931f227e299afcaa05905e4e872f7b1a9f57b | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/48e27acd47b60a1083b0051c4b080dc44b137a1ee4d6485a90585fce8d34ff01 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/7e739ba81d88067608ae256ee71e888a5a2685c11337b17cc258379cefa7d79f | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/f852682a462b515853bc77cf48975160401ee999bd940eecbe64905548618feb | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/497bff9b8dbc7df438deb0cadb96535dc86d73cd62c4a8642ced11c7a925f431 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/110197796385eeb5d82820e31ec8ef36df98156a3abd97c7c476b95df082f7b0 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/56c97fb0172e185e262500f609949340da78071edb2ec8302ca2609da36ff7f5 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/25d7bb2e4e84a4f08d9a926fb861689cdbcc1b6c68ad1c72d818680d6bc4fc10 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/f1698a235d5d97b80ffd43e81afad4b15767feacb8916442622322da1459da8a | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/d513fa8d76d13418049d8c27df6c2440332084b88c2561f90bee2cfce15dc169 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/130aa5f535d046fe7fc9fedc4a1ad59a4408a396c751619010bf509968ee5979 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/c7323f032078cf8743aa2af5788c8cd70dfe416713bca727fd11a347a14afc40 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/a20c6c787c8f4ac10c8d88593fe90cd3d8a0e59369b63c78af239a1df70594ec | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/6b8aee57e1bc68584d8746ce56e726d3dd2d5bcef5f9c1a5e8bdf4afd2dd3634 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/dc637fc98d05b079818898ce0b868c47ba8a7c946851d4fe492320772468ddd3 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/980295c4a688db175d7781f501ae05f5556d842895e7cad24d27824b84a5ce28 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/faa69cca183e34ba59b9f8e5764cc6992bf00f9619855a10ab03a6737430e7db | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/8212dfb038e0b2c5e48d14a56d588af3e0fdcc3d2616e56fe0fe727ebd3b4e92 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/e6f3a77e00b7e43cc3fd086d672062ed416fb016b19e5854d9197f8d5ce4f1d8 | urn:codex:bootstrap:1.0.0#Rule#shape/xone/alt/5e83c2c7c08eda22c90678aa74cdf31aeefa3838af6a46f146bfc6f7ccff5094
Schema	urn:codex:bootstrap:1.0.0#Schema#shape	xone	urn:codex:bootstrap:1.0.0#Schema#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#Schema#shape/xone/mode/203f7b982ddb4fde8ad183d93203879b2fd3a69e7f2db950f71c93106591fc63 | urn:codex:bootstrap:1.0.0#Schema#shape/xone/mode/0d457bf4834448d1f3099694cbbc8107a0f5b561c10ff63c018f76aa8cba248a
Targets	urn:codex:bootstrap:1.0.0#Targets#shape	or	urn:codex:bootstrap:1.0.0#Targets#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#Targets#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#Targets#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
TraitCardinality	urn:codex:bootstrap:1.0.0#TraitCardinality#shape	or	urn:codex:bootstrap:1.0.0#TraitCardinality#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#TraitCardinality#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#TraitCardinality#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
TraitDefinition	urn:codex:bootstrap:1.0.0#TraitDefinition#shape	xone	urn:codex:bootstrap:1.0.0#TraitDefinition#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#TraitDefinition#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0 | urn:codex:bootstrap:1.0.0#TraitDefinition#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1
TraitRules	urn:codex:bootstrap:1.0.0#TraitRules#shape	or	urn:codex:bootstrap:1.0.0#TraitRules#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#TraitRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#TraitRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1 | urn:codex:bootstrap:1.0.0#TraitRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/2
ValueInNumericRange	urn:codex:bootstrap:1.0.0#ValueInNumericRange#shape	or	urn:codex:bootstrap:1.0.0#ValueInNumericRange#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#ValueInNumericRange#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#ValueInNumericRange#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
ValueLength	urn:codex:bootstrap:1.0.0#ValueLength#shape	or	urn:codex:bootstrap:1.0.0#ValueLength#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#ValueLength#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#ValueLength#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
